"power","freq"
"187",2016.75525722074,56
"188",1252.48154458563,56
"189",1780.77038971736,56
"190",1981.50742090898,57
"191",2099.95063552574,57
"192",1942.48205581986,57
"193",1936.306011138,58
"194",1731.27589123832,58
"195",1820.30726289796,58
"196",2242.27719165999,59
"197",2205.91053001353,59
"198",2358.23993099689,59
"199",1796.93125971142,59
"200",1878.28351200577,60
"201",2255.86973723903,60
"202",1753.53585421679,60
"203",2024.435941725,61
"204",1934.66909456774,61
"205",2182.83393327687,61
"206",2284.55807006238,62
"207",1983.66323633196,62
"208",1893.86691096627,62
"209",2563.84955998556,62
"210",2055.83284000674,63
"211",2002.39874941193,63
"212",1788.02256647213,63
"213",2013.68403142888,64
"214",2466.91607197456,64
"215",2470.49472881749,64
"216",2923.58261808817,65
"217",1888.8224366162,65
"218",1711.16834594184,65
"219",1955.52230111672,65
"220",2526.17403572803,66
"221",1936.16576078425,66
"222",1876.67554843233,66
"223",2381.52608520256,67
"224",2541.18213427936,67
"225",2235.63124192393,67
"226",2300.59251200181,68
"227",2003.92668529664,68
"228",2600.23891476641,68
"229",1808.72441607346,68
"230",1912.02556141341,69
"231",2255.96399295325,69
"232",1791.7160243211,69
"233",2367.48947545008,70
"234",1986.14028082275,70
"235",2464.59810284246,70
"236",2136.59114192348,71
"237",2059.33939206107,71
"238",2527.3181965737,71
"239",2126.79904241638,71
"240",2521.73432551508,72
"241",1970.55492636489,72
"242",2985.39697393415,72
"243",2611.94724448219,73
"244",2335.44123941159,73
"245",2347.57936761589,73
"246",2103.51886345291,74
"247",2163.68624828469,74
"248",2137.76746074054,74
"249",2277.42610360495,74
"250",2295.95677716,75
"251",2539.28013654839,75
"252",2185.27022183573,75
"253",2316.09073246719,76
"254",2314.19663353588,76
"255",2649.51796804668,76
"256",2324.00300469073,77
"257",2713.78932364039,77
"258",2358.59331316841,77
"259",2724.40405979868,77
"260",2183.30801035617,78
"261",2950.86669356477,78
"262",2468.74596015613,78
"263",2572.43734310888,79
"264",2327.33613934749,79
"265",2244.34917279955,79
"266",2900.41619674175,80
"267",2587.33518719817,80
"268",2669.63251452135,80
"269",2454.32887225747,80
"270",2669.79039587963,81
"271",2261.47158321676,81
"272",2879.58399365112,81
"273",2519.74329830626,82
"274",3066.89217123484,82
"275",2171.44011090545,82
"276",2864.71727355807,83
"277",3397.16566388064,83
"278",2443.73105223238,83
"279",2954.12767403351,83
"280",2653.66425748594,84
"281",2694.40310819526,84
"282",2568.85154552122,84
"283",2580.14339115231,85
"284",2477.40083210741,85
"285",2803.48702452254,85
"286",2981.40680364,86
"287",2699.04212793807,86
"288",2559.557426256,86
"289",2602.72121394048,86
"290",2833.70807846604,87
"291",2247.35680584767,87
"292",2966.61708600374,87
"293",3456.67501684347,88
"294",2779.68120098889,88
"295",2334.38547704931,88
"296",2562.19431864436,89
"297",2722.41624879295,89
"298",3318.15181630354,89
"299",2933.07622966442,89
"300",2385.64172619479,90
"301",2616.4936419565,90
"302",2742.93857240569,90
"303",3116.32477783322,91
"304",3625.6232085136,91
"305",2729.19679081071,91
"306",2983.72413540896,92
"307",2827.86679047996,92
"308",3339.7591244819,92
"309",2659.20146545003,92
"310",2457.35937471868,93
"311",3046.40838707202,93
"312",3470.74315161327,93
"313",3373.04841847917,94
"314",3003.70228090507,94
"315",3099.14228101267,94
"316",3070.310069759,95
"317",2835.51463490501,95
"318",2824.86121873476,95
"319",3410.52528344763,95
"320",3310.65076811874,96
